venda_id,cliente_id,veiculo_id,vendedor_id,data_venda,valor_venda,desconto_percentual,forma_pagamento,numero_parcelas,valor_entrada,status_venda
51,1179,1,15,2023-10-17,959238.73,3.77,Financiamento,48,209672.64,Concluída
52,1084,21,15,2023-05-02,485033.3,0.17,Consórcio,60,0.0,Concluída
53,1614,2,3,2024-12-11,1078876.75,8.5,À vista,1,1078876.75,Cancelada
54,73,33,7,2024-08-13,1008165.34,4.35,Financiamento,24,363184.34,Concluída
55,1012,5,5,2023-09-12,1495389.98,4.96,Financiamento,36,554004.33,Concluída
56,755,29,2,2024-02-21,679540.95,4.89,Consórcio,72,0.0,Concluída
57,1237,24,14,2023-11-17,442637.84,3.2,Financiamento,36,160188.74,Concluída
58,752,29,3,2023-10-21,678397.78,5.05,Leasing,36,67839.78,Concluída
59,1757,30,9,2024-09-27,894575.7,4.21,Financiamento,12,206576.77,Concluída
60,1495,29,5,2024-06-08,693187.5,2.98,À vista,1,693187.5,Concluída
61,1921,9,6,2023-03-11,596000.02,0.29,Consórcio,72,0.0,Concluída
62,967,38,14,2023-06-03,870161.81,2.82,Financiamento,48,207159.81,Concluída
63,438,34,15,2023-10-14,632718.17,1.53,Consórcio,60,0.0,Cancelada
64,1984,37,5,2023-10-14,593815.57,3.89,À vista,1,593815.57,Concluída
65,443,1,13,2024-02-20,936411.58,6.06,Financiamento,36,239506.09,Concluída
66,512,29,13,2024-12-18,608878.98,14.78,Financiamento,24,216587.65,Concluída
67,782,36,5,2023-07-21,1172926.62,14.02,À vista,1,1172926.62,Concluída
68,161,33,5,2023-12-19,911090.56,13.56,Consórcio,84,0.0,Concluída
69,793,26,2,2023-09-28,588219.47,3.29,À vista,1,588219.47,Concluída
70,1845,6,14,2023-10-10,933140.47,12.8,Financiamento,60,301429.04,Concluída
71,1868,12,11,2023-03-14,364686.07,5.9,Financiamento,24,144872.52,Concluída
72,742,32,6,2023-09-11,825081.22,4.18,Financiamento,12,182310.6,Cancelada
73,168,18,6,2023-12-06,894305.42,1.73,Financiamento,36,280518.78,Concluída
74,1263,31,1,2023-02-24,864211.61,4.82,À vista,1,864211.61,Concluída
75,493,26,13,2023-12-25,606101.43,0.35,Financiamento,36,223664.23,Concluída
76,1970,1,15,2024-01-14,932424.31,6.46,Financiamento,36,294706.18,Concluída
77,1340,2,3,2024-07-24,1076636.46,8.69,À vista,1,1076636.46,Concluída
78,1624,37,4,2024-09-05,575280.07,6.89,À vista,1,575280.07,Cancelada
79,1977,16,8,2023-06-04,1192626.45,0.12,À vista,1,1192626.45,Concluída
80,42,22,13,2023-06-06,366271.7,7.15,Financiamento,12,118298.34,Concluída
81,185,18,6,2024-12-20,839429.45,7.76,Financiamento,60,189693.06,Concluída
82,1318,19,8,2023-11-20,1045034.81,7.38,Financiamento,24,225256.3,Concluída
83,233,19,15,2023-12-22,1002836.26,11.12,Financiamento,12,388441.32,Concluída
84,1227,9,15,2024-03-03,570058.39,4.63,Financiamento,48,185250.41,Concluída
85,828,14,14,2023-05-17,661827.3,5.34,Financiamento,60,251654.37,Concluída
86,1739,18,2,2024-12-23,899583.7,1.15,Financiamento,36,204706.66,Concluída
87,1256,27,13,2023-06-28,510359.13,3.25,Financiamento,48,121955.83,Concluída
88,1182,28,7,2024-11-16,560045.62,3.46,À vista,1,560045.62,Concluída
89,1444,25,5,2023-06-06,662317.49,7.36,À vista,1,662317.49,Concluída
90,1210,29,6,2023-12-08,653033.78,8.6,Financiamento,12,173204.11,Concluída
91,208,37,10,2024-01-25,602280.11,2.52,Financiamento,12,163627.73,Concluída
92,587,3,3,2024-02-14,933891.36,5.48,Financiamento,24,214616.12,Concluída
93,1453,15,5,2023-01-25,1403481.06,1.28,Financiamento,24,530044.81,Concluída
94,604,10,15,2023-10-06,895776.79,6.14,Financiamento,48,332230.96,Concluída
95,1913,25,6,2024-11-23,658385.34,7.91,Consórcio,72,0.0,Concluída
96,1305,32,15,2024-09-08,820259.21,4.74,À vista,1,820259.21,Concluída
97,1545,23,6,2024-06-13,543604.95,5.92,À vista,1,543604.95,Concluída
98,919,26,2,2023-08-20,585421.61,3.75,Financiamento,48,132089.26,Concluída
99,276,15,4,2024-09-13,1233590.48,13.23,À vista,1,1233590.48,Concluída
100,1043,28,12,2023-09-17,546818.93,5.74,Financiamento,12,134801.1,Concluída
101,668,21,1,2024-02-15,476773.69,1.87,Financiamento,12,162803.43,Concluída
102,1337,31,10,2023-12-17,812366.18,10.53,Financiamento,60,237097.92,Concluída
103,644,37,12,2024-05-24,607593.62,1.66,Financiamento,12,170598.57,Concluída
104,1001,14,13,2024-08-17,662386.63,5.26,Financiamento,12,136264.75,Concluída
105,1511,6,7,2023-06-10,915055.52,14.49,Leasing,36,91505.55,Concluída
106,350,26,4,2024-11-10,568756.1,6.49,À vista,1,568756.1,Concluída
107,34,19,9,2024-07-15,1075950.33,4.64,Financiamento,24,411358.09,Concluída
108,944,14,7,2024-10-10,680285.19,2.7,Financiamento,60,250839.93,Concluída
109,1510,5,1,2023-11-23,1421123.98,9.68,À vista,1,1421123.98,Concluída
110,1744,26,3,2023-03-15,594727.53,2.22,Consórcio,84,0.0,Concluída
111,82,30,13,2024-12-03,891774.02,4.51,Financiamento,60,285207.41,Concluída
112,1109,35,4,2023-03-06,770456.06,2.41,Financiamento,60,253493.06,Concluída
113,966,30,9,2023-02-13,877485.47,6.04,À vista,1,877485.47,Concluída
114,10,34,5,2024-08-11,630276.48,1.91,Financiamento,48,149780.08,Concluída
115,1051,33,1,2023-07-06,994884.75,5.61,Financiamento,48,328731.98,Concluída
116,877,30,3,2023-03-15,916708.96,1.84,Financiamento,12,205602.38,Concluída
117,1180,31,13,2024-12-11,906977.29,0.11,Financiamento,24,230723.15,Concluída
118,80,30,9,2023-12-03,919043.69,1.59,Consórcio,60,0.0,Concluída
119,75,35,10,2024-10-21,742350.48,5.97,Financiamento,36,155174.76,Concluída
120,1659,29,5,2023-11-17,704619.16,1.38,Leasing,48,70461.92,Concluída
121,232,31,8,2024-10-24,842329.39,7.23,Leasing,48,84232.94,Concluída
122,1632,13,8,2023-11-13,661768.17,4.21,À vista,1,661768.17,Concluída
123,257,15,8,2024-10-02,1223638.73,13.93,Financiamento,24,249042.64,Concluída
124,1991,8,8,2024-09-19,1233872.07,14.6,Financiamento,24,303769.18,Concluída
125,863,33,6,2023-06-28,1028613.23,2.41,Consórcio,60,0.0,Concluída
126,1099,15,14,2023-11-25,1284202.23,9.67,Consórcio,84,0.0,Concluída
127,1306,6,6,2023-04-14,976801.17,8.72,Financiamento,36,338777.17,Concluída
128,1807,5,2,2024-01-24,1453694.03,7.61,Financiamento,48,455983.92,Concluída
129,742,18,6,2024-07-21,872646.25,4.11,Financiamento,24,202966.42,Concluída
130,881,18,6,2023-04-05,870462.13,4.35,Consórcio,60,0.0,Concluída
131,1576,29,9,2023-12-20,680755.56,4.72,À vista,1,680755.56,Concluída
132,514,37,8,2024-06-01,617849.93,0.0,À vista,1,617849.93,Concluída
133,273,19,14,2024-01-16,1051353.31,6.82,Consórcio,72,0.0,Concluída
134,158,25,4,2023-08-20,675472.33,5.52,Financiamento,48,142251.61,Concluída
135,748,18,15,2023-01-07,874830.36,3.87,Financiamento,60,341454.71,Concluída
136,1178,37,9,2024-11-15,591282.38,4.3,À vista,1,591282.38,Cancelada
137,527,23,1,2024-11-15,556259.02,3.73,À vista,1,556259.02,Concluída
138,51,35,6,2023-02-20,781982.51,0.95,À vista,1,781982.51,Concluída
139,171,35,4,2023-11-08,774245.58,1.93,Financiamento,60,261025.81,Concluída
140,920,38,3,2024-08-20,851805.85,4.87,Financiamento,60,203756.93,Cancelada
141,591,10,4,2023-12-02,841950.01,11.78,À vista,1,841950.01,Concluída
142,888,1,12,2023-08-05,996320.39,0.05,Financiamento,12,296029.04,Concluída
143,218,9,9,2024-10-02,556131.2,6.96,Consórcio,60,0.0,Concluída
144,1433,21,2,2023-02-22,451168.91,7.14,À vista,1,451168.91,Concluída
145,1806,33,13,2024-11-11,911301.36,13.54,À vista,1,911301.36,Concluída
146,550,38,2,2023-10-02,860133.19,3.94,Leasing,24,86013.32,Concluída
147,613,26,8,2024-01-06,596856.33,1.87,Financiamento,24,180235.99,Concluída
148,263,30,6,2024-08-20,876178.02,6.18,Leasing,48,87617.8,Concluída
149,1288,37,3,2023-05-15,603515.81,2.32,Financiamento,60,188824.06,Concluída
150,151,28,5,2024-12-02,507835.03,12.46,Financiamento,12,172854.18,Concluída
151,666,11,10,2024-08-11,374746.24,7.24,Financiamento,36,148207.32,Cancelada
152,1756,37,12,2024-08-27,591900.23,4.2,Financiamento,12,165299.2,Concluída
153,1225,34,10,2024-04-27,601554.53,6.38,Leasing,48,60155.45,Concluída
154,985,1,2,2023-06-10,930031.94,6.7,Consórcio,72,0.0,Concluída
155,1558,3,4,2023-05-04,960074.31,2.83,Financiamento,36,255010.95,Concluída
156,1201,18,15,2024-11-17,848620.94,6.75,Financiamento,48,280869.03,Concluída
157,1448,14,14,2023-08-23,656723.41,6.07,À vista,1,656723.41,Concluída
158,1960,20,1,2023-12-20,1778826.8,4.15,Financiamento,12,400702.06,Concluída
159,548,29,5,2023-09-19,672396.16,5.89,Financiamento,60,261481.11,Concluída
160,873,34,7,2023-06-16,618453.58,3.75,Consórcio,84,0.0,Concluída
161,600,5,12,2024-08-14,1342137.68,14.7,À vista,1,1342137.68,Concluída
162,977,33,4,2024-12-09,949351.3,9.93,Financiamento,60,360756.06,Concluída
163,223,23,13,2024-12-05,564868.41,2.24,Financiamento,60,216075.46,Concluída
164,265,13,6,2024-05-17,636206.6,7.91,Financiamento,48,173986.84,Concluída
165,596,17,15,2024-08-26,1329179.19,2.89,Consórcio,60,0.0,Concluída
166,952,37,11,2023-11-23,607717.19,1.64,Consórcio,72,0.0,Concluída
167,764,7,11,2023-02-01,2071484.57,11.3,Leasing,24,207148.46,Concluída
168,281,27,12,2023-03-15,510570.13,3.21,Financiamento,12,157633.05,Concluída
169,1029,32,8,2023-07-26,825511.76,4.13,À vista,1,825511.76,Concluída
170,820,32,4,2024-02-14,860299.15,0.09,Consórcio,60,0.0,Concluída
171,1095,14,3,2024-01-12,649172.46,7.15,À vista,1,649172.46,Concluída
172,1387,8,5,2023-10-01,1444526.11,0.02,Financiamento,24,373028.12,Concluída
173,176,6,13,2024-10-09,916981.73,14.31,Leasing,24,91698.17,Concluída
174,1077,6,13,2024-04-10,1018000.61,4.87,Leasing,48,101800.06,Concluída
175,506,3,11,2024-12-25,840917.2,14.89,Financiamento,12,170993.97,Concluída
176,1388,13,13,2023-09-22,650230.92,5.88,Financiamento,36,259183.09,Concluída
177,584,14,15,2024-04-13,683151.76,2.29,Financiamento,60,262366.15,Concluída
178,1551,10,1,2023-03-27,908183.67,4.84,Leasing,24,90818.37,Concluída
179,1435,4,14,2023-11-11,850456.68,0.01,Leasing,36,85045.67,Concluída
180,293,9,14,2024-05-16,582610.79,2.53,Financiamento,12,132003.5,Concluída
181,154,17,9,2023-01-16,1217079.74,11.08,Financiamento,24,367741.52,Concluída
182,1262,18,9,2024-06-28,890665.22,2.13,Financiamento,60,236781.93,Concluída
183,812,14,2,2024-11-15,669238.42,4.28,Financiamento,48,227558.4,Cancelada
184,139,12,7,2023-01-27,385575.11,0.51,Financiamento,60,100741.75,Concluída
185,26,34,13,2024-07-19,636830.48,0.89,Financiamento,36,252716.83,Concluída
186,610,14,13,2023-12-07,600440.82,14.12,À vista,1,600440.82,Concluída
187,1586,21,15,2024-03-26,481243.6,0.95,Financiamento,36,163888.78,Concluída
188,712,6,1,2023-02-05,938598.06,12.29,Consórcio,72,0.0,Concluída
189,254,18,3,2023-11-11,843797.68,7.28,À vista,1,843797.68,Concluída
190,572,3,13,2024-03-21,944759.76,4.38,Consórcio,84,0.0,Concluída
191,1069,23,12,2023-05-19,555854.55,3.8,À vista,1,555854.55,Concluída
192,1912,24,10,2024-02-06,451783.25,1.2,Leasing,48,45178.32,Concluída
193,241,29,15,2023-12-28,646389.12,9.53,Financiamento,36,225803.3,Concluída
194,1547,33,12,2024-09-23,939232.76,10.89,Leasing,24,93923.28,Concluída
195,528,25,3,2024-10-14,679190.0,5.0,Financiamento,12,164092.82,Concluída
196,1607,9,8,2024-09-08,593190.68,0.76,Financiamento,36,144750.32,Concluída
197,531,14,9,2024-12-27,635259.12,9.14,Financiamento,36,210303.15,Concluída
198,1960,29,5,2023-12-17,694402.11,2.81,Consórcio,72,0.0,Concluída
199,1829,30,5,2023-07-04,877765.64,6.01,À vista,1,877765.64,Concluída
200,1547,31,2,2024-03-26,854223.88,5.92,Financiamento,12,235574.71,Concluída
201,1045,37,13,2023-12-03,531042.01,14.05,À vista,1,531042.01,Concluída
202,1367,20,8,2024-06-17,1723151.47,7.15,Leasing,24,172315.15,Concluída
203,1265,37,7,2024-06-17,568607.29,7.97,Leasing,24,56860.73,Concluída
204,1193,14,4,2023-08-11,653647.1,6.51,Financiamento,48,224642.6,Concluída
205,1301,25,7,2024-08-25,670610.76,6.2,Consórcio,72,0.0,Concluída
206,128,13,15,2023-09-25,653132.5,5.46,Consórcio,60,0.0,Cancelada
207,1077,29,6,2023-03-07,694902.25,2.74,Consórcio,84,0.0,Concluída
208,1647,30,7,2023-04-15,872909.39,6.53,Consórcio,72,0.0,Concluída
209,1,14,11,2023-10-01,663784.95,5.06,Financiamento,36,151667.25,Concluída
210,245,9,9,2023-10-22,593549.32,0.7,Consórcio,84,0.0,Concluída
211,918,30,14,2023-12-11,834059.46,10.69,Financiamento,48,193756.0,Concluída
212,1463,3,13,2023-08-04,975290.06,1.29,Financiamento,60,362876.83,Concluída
213,1741,37,2,2024-01-01,582199.99,5.77,À vista,1,582199.99,Concluída
214,1056,10,7,2024-02-21,927652.93,2.8,Financiamento,24,224505.92,Concluída
215,1841,31,6,2024-09-07,891450.9,1.82,Financiamento,24,205912.62,Concluída
216,989,33,5,2024-05-09,921841.51,12.54,Financiamento,60,196264.19,Concluída
217,1166,16,14,2024-05-25,1051966.26,11.9,À vista,1,1051966.26,Concluída
218,1848,11,10,2024-05-22,386583.3,4.31,Consórcio,60,0.0,Concluída
219,1758,7,5,2024-10-05,2279567.18,2.39,Consórcio,60,0.0,Concluída
220,1699,16,5,2024-04-04,1126594.97,5.65,Financiamento,12,412991.3,Concluída
221,869,38,12,2023-05-07,857805.12,4.2,Financiamento,60,336197.88,Concluída
222,1443,38,12,2024-03-18,860222.73,3.93,Consórcio,72,0.0,Concluída
223,135,33,13,2024-04-05,905504.28,14.09,Financiamento,36,197694.49,Concluída
224,1227,27,15,2023-01-06,494956.05,6.17,Financiamento,12,126209.75,Concluída
225,1939,24,4,2024-09-20,428005.19,6.4,Financiamento,36,114707.46,Concluída
226,1315,6,7,2024-10-02,996812.33,6.85,À vista,1,996812.33,Concluída
227,1511,2,11,2023-06-01,1024756.04,13.09,Financiamento,48,316792.28,Concluída
228,1894,23,11,2023-07-04,554814.49,3.98,Leasing,36,55481.45,Concluída
229,1027,7,2,2023-04-03,2251075.51,3.61,À vista,1,2251075.51,Concluída
230,1292,2,9,2024-07-13,1004711.34,14.79,À vista,1,1004711.34,Concluída
231,450,16,14,2023-04-23,1109400.51,7.09,Consórcio,84,0.0,Cancelada
232,1754,27,2,2024-11-20,497699.06,5.65,Consórcio,72,0.0,Concluída
233,600,37,12,2024-02-11,591776.66,4.22,À vista,1,591776.66,Concluída
234,1411,36,4,2023-06-23,1345359.65,1.38,Consórcio,84,0.0,Concluída
235,1157,11,7,2023-12-25,394865.21,2.26,Leasing,36,39486.52,Concluída
236,498,20,11,2023-11-03,1815201.35,2.19,Financiamento,48,526578.05,Concluída
237,612,25,14,2023-05-15,697992.84,2.37,Consórcio,72,0.0,Concluída
238,596,36,1,2024-10-16,1347133.09,1.25,À vista,1,1347133.09,Concluída
239,548,26,4,2023-07-08,564376.84,7.21,À vista,1,564376.84,Concluída
240,176,20,11,2023-04-28,1634070.94,11.95,Financiamento,60,345946.36,Concluída
241,264,14,5,2024-11-12,655255.17,6.28,Financiamento,48,157462.79,Concluída
242,263,2,13,2023-10-23,1146203.37,2.79,Financiamento,36,260470.22,Concluída
243,1905,4,15,2024-11-15,850201.51,0.04,Consórcio,72,0.0,Concluída
244,1590,33,1,2023-01-03,1025661.99,2.69,À vista,1,1025661.99,Concluída
245,191,29,6,2024-06-04,691401.3,3.23,Leasing,36,69140.13,Concluída
246,913,37,12,2024-11-15,596719.46,3.42,Leasing,24,59671.95,Concluída
247,1340,35,4,2024-11-25,780245.64,1.17,Financiamento,36,247510.63,Concluída
248,754,26,10,2023-07-17,607317.89,0.15,Financiamento,12,228355.94,Concluída
249,1955,29,7,2024-04-27,700189.39,2.0,Financiamento,12,275298.37,Concluída
250,1173,26,5,2024-12-18,589010.16,3.16,Financiamento,12,182367.98,Concluída
251,143,26,1,2024-08-18,570276.67,6.24,Consórcio,72,0.0,Concluída
252,471,32,15,2024-06-19,799937.86,7.1,Leasing,36,79993.79,Concluída
253,1647,16,3,2023-06-20,1193701.1,0.03,Financiamento,24,386434.83,Concluída
254,1320,34,12,2023-06-16,639207.91,0.52,Financiamento,48,251961.86,Concluída
255,1697,1,11,2023-12-11,855569.58,14.17,Financiamento,24,324607.14,Cancelada
256,1039,29,14,2024-04-26,658821.06,7.79,Financiamento,48,205743.1,Concluída
257,746,29,5,2024-01-18,664751.23,6.96,Financiamento,24,181175.8,Cancelada
258,885,14,11,2023-12-22,665812.52,4.77,Financiamento,12,258066.15,Concluída
259,1314,26,15,2024-06-04,593936.83,2.35,Financiamento,60,222055.08,Concluída
260,1908,11,2,2024-07-11,381290.96,5.62,Leasing,48,38129.1,Concluída
261,1088,36,12,2023-09-27,1201983.76,11.89,Financiamento,48,401615.01,Concluída
262,888,17,6,2023-12-10,1221185.95,10.78,Financiamento,48,292929.47,Concluída
263,1399,36,2,2023-12-20,1301160.04,4.62,À vista,1,1301160.04,Concluída
264,877,37,11,2023-02-22,615687.46,0.35,Financiamento,60,130517.18,Concluída
265,1991,7,14,2024-05-11,2163965.73,7.34,Leasing,36,216396.57,Cancelada
266,1959,22,11,2023-11-03,369072.48,6.44,Financiamento,24,128942.63,Concluída
267,71,25,10,2023-11-19,696062.51,2.64,Financiamento,12,158553.74,Concluída
268,319,31,6,2023-12-22,855585.84,5.77,Consórcio,60,0.0,Concluída
269,693,32,3,2024-12-18,796665.78,7.48,Financiamento,36,167816.58,Concluída
270,939,13,12,2024-11-20,648918.3,6.07,Financiamento,60,231481.18,Concluída
271,1772,32,6,2024-12-07,852635.59,0.98,Financiamento,24,229074.35,Concluída
272,1782,35,7,2024-12-10,734139.86,7.01,À vista,1,734139.86,Concluída
273,881,5,2,2024-12-14,1539131.4,2.18,Financiamento,36,323130.88,Concluída
274,127,16,9,2023-02-19,1037637.55,13.1,Financiamento,12,263418.44,Concluída
275,1042,26,9,2024-10-28,583110.33,4.13,Leasing,24,58311.03,Concluída
276,1234,34,4,2024-04-02,597956.26,6.94,À vista,1,597956.26,Concluída
277,1077,1,7,2024-05-18,922256.75,7.48,Financiamento,12,368442.62,Cancelada
278,40,38,13,2023-11-23,883951.16,1.28,Financiamento,60,300891.42,Concluída
279,1694,1,13,2024-03-04,991934.39,0.49,À vista,1,991934.39,Concluída
280,1485,25,8,2024-11-28,658456.83,7.9,Financiamento,12,152834.93,Concluída
281,107,32,10,2023-10-14,841527.74,2.27,Financiamento,60,270700.55,Concluída
282,533,36,7,2024-11-21,1202120.18,11.88,Financiamento,36,425631.36,Concluída
283,925,23,15,2024-09-13,544818.35,5.71,Leasing,36,54481.84,Concluída
284,464,14,5,2024-08-18,644557.98,7.81,Financiamento,24,161181.84,Concluída
285,1620,38,15,2023-05-16,892009.87,0.38,Financiamento,24,224369.37,Concluída
286,282,36,3,2023-03-18,1272784.99,6.7,Financiamento,48,350951.8,Concluída
287,82,3,8,2024-06-27,949205.92,3.93,Financiamento,48,216851.58,Concluída
288,1933,19,10,2023-08-10,994261.15,11.88,Financiamento,24,302288.44,Cancelada
289,847,25,1,2023-12-01,707930.46,0.98,Financiamento,12,160860.83,Concluída
290,1292,20,2,2023-11-05,1606790.03,13.42,Financiamento,48,467811.15,Concluída
291,1903,11,4,2024-07-05,375150.23,7.14,À vista,1,375150.23,Concluída
292,698,29,15,2023-12-05,632028.1,11.54,À vista,1,632028.1,Concluída
293,899,25,7,2024-10-28,690271.52,3.45,Financiamento,48,252570.8,Concluída
294,946,4,1,2024-12-20,794150.81,6.63,Financiamento,24,221630.41,Concluída
295,1491,10,13,2024-07-17,936624.06,1.86,Financiamento,48,239870.27,Concluída
296,1740,33,1,2024-10-13,906242.09,14.02,Consórcio,72,0.0,Cancelada
297,1570,30,13,2023-09-06,881501.21,5.61,À vista,1,881501.21,Concluída
298,1149,12,5,2024-11-20,367864.0,5.08,À vista,1,367864.0,Concluída
299,1499,4,6,2023-08-19,809460.56,4.83,À vista,1,809460.56,Concluída
300,1412,26,13,2024-06-28,574108.52,5.61,À vista,1,574108.52,Concluída
301,568,26,2,2023-05-23,564985.07,7.11,Consórcio,84,0.0,Concluída
302,1371,38,14,2024-01-14,844373.93,5.7,À vista,1,844373.93,Concluída
303,1019,34,4,2024-06-02,594357.98,7.5,À vista,1,594357.98,Concluída
304,1399,38,10,2023-06-19,891114.46,0.48,Leasing,36,89111.45,Concluída
305,1045,29,2,2024-11-04,658678.16,7.81,Financiamento,60,231144.18,Concluída
306,1725,1,11,2024-10-23,936810.31,6.02,À vista,1,936810.31,Concluída
307,761,18,13,2023-07-05,840976.53,7.59,Financiamento,60,324615.96,Concluída
308,1863,27,5,2024-05-15,496907.81,5.8,Financiamento,60,198729.33,Concluída
309,693,11,14,2023-12-17,374544.24,7.29,Financiamento,60,96999.85,Concluída
310,502,25,9,2023-06-08,674471.41,5.66,Leasing,36,67447.14,Concluída
311,199,2,2,2023-06-22,1101161.74,6.61,Financiamento,60,363016.98,Concluída
312,712,19,2,2024-12-20,1050789.16,6.87,Financiamento,12,382569.92,Concluída
313,1843,6,15,2024-10-18,1028487.74,3.89,Financiamento,12,345133.65,Concluída
314,616,13,15,2024-04-15,676276.08,2.11,Financiamento,60,192183.94,Concluída
315,1404,11,13,2024-07-19,374827.03,7.22,Leasing,48,37482.7,Concluída
316,1872,29,1,2024-01-14,691329.85,3.24,Financiamento,36,173284.72,Concluída
317,1796,9,13,2024-11-10,565156.98,5.45,Consórcio,60,0.0,Concluída
318,902,14,9,2023-06-23,647634.3,7.37,Consórcio,84,0.0,Concluída
319,1296,18,11,2024-04-24,896762.55,1.46,Financiamento,60,228806.53,Concluída
320,1751,30,7,2024-03-02,888878.96,4.82,Leasing,48,88887.9,Concluída
321,251,13,13,2024-11-19,638486.42,7.58,À vista,1,638486.42,Concluída
322,1950,20,15,2023-02-19,1770475.5,4.6,Consórcio,60,0.0,Concluída
323,315,19,11,2024-05-26,1080350.72,4.25,Consórcio,84,0.0,Concluída
324,503,21,14,2023-11-10,465696.1,4.15,Leasing,36,46569.61,Concluída
325,1264,35,8,2023-10-05,760666.48,3.65,Financiamento,60,298554.15,Concluída
326,1227,10,15,2023-05-28,920017.92,3.6,Financiamento,36,315651.33,Concluída
327,57,34,2,2024-10-05,596992.43,7.09,Financiamento,60,224579.39,Concluída
328,1707,5,14,2024-05-09,1384777.7,11.99,Leasing,36,138477.77,Concluída
